id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
978;Find the domain of the function $f(x,y) = \sqrt{x-y-5}$.;1;$D = \left\{(x,y) \in \mathbb{R}^2: y \leq x-5\right\}$.;$D=\left\{(x,y) \in \mathbb{R}^2:  x-y \neq 5\right\}$.;$D= \mathbb{R}^2$.;$D=\left\{(x,y) \in \mathbb{R}^2: y \geq x- 5\right\}$.;15;Real Functions of Several Variables
980;Find $\lim_{\left(x,y\right)\rightarrow\left(0,0\right)}\frac{\sin\left(x^2+y^2\right)}{x^2+y^2}$.;3;$1$.;$0$.;$+\infty$.;It doesn't exist.;15;Real Functions of Several Variables
981;Find the $\displaystyle\lim_{x\to 2}\,\frac{x^3-2x^2}{x-2}$.;1;$4$.;$+\infty$.;$0$.;The limit does not exist.;3;Real Functions of a Single Variable
982;Find the $\displaystyle\lim_{x\to 0}\,\frac{|x|}{x}$.;2;The limit does not exist.;$-1$.;$0$.;$1$.;3;Real Functions of a Single Variable
983;Find the $\displaystyle\lim_{x\to 0^+}\,(2x-x\ln x)$.;1;$0$.;$-1$.;$1$.;The limit does not exist.;3;Real Functions of a Single Variable
984;Find the $\displaystyle\lim_{x\to 0^+}\,x^2 e^{\frac{1}{x}}$.;2;$+\infty$.;$-\infty$.;The limit does not exist.;$0$.;3;Real Functions of a Single Variable
985;"Consider the function $f$ defined in $\mathbb{R}^2$ by $f(x,y)=\sqrt{x^2+y^2-9}$. 
The domain of $f$ is";1;The complement of the closed circle with center $(0,0)$ and radius $3$.;The closed circle with center $(0,0)$ and radius $3$.;The half plane $y>3$.;The half plane $y<3$.;15;Real Functions of Several Variables
986;"Consider the function $f$ defined in $\mathbb{R}^2$ by $f(x,y)=\dfrac{\ln(16-x^2-y^2)}{|x|-|y|}$.
The domain of $f$ is";3;$\{(x,y)\in\mathbb{R}^2:x^2+y^2<16 \wedge x\neq y \wedge x\neq -y\}$.;$\{(x,y)\in\mathbb{R}^2:x^2+y^2>16 \wedge x\neq y \wedge x<-y\}$.;$\{(x,y)\in\mathbb{R}^2:x^2+y^2<16 \wedge x>y \wedge x\neq -y\}$.;$\{(x,y)\in\mathbb{R}^2:x^2+y^2>16 \wedge x>y \wedge x<-y\}$.;15;Real Functions of Several Variables
987;Find the $\displaystyle\lim_{\left(x,y\right)\rightarrow\left(0,0\right)}\frac{x^2-y^2}{2x^2+y^2}$.;3;The limit does not exist.;$\displaystyle \frac{1}{2}$.;$-\displaystyle \frac{1}{2}$.;$\displaystyle 0$.;15;Real Functions of Several Variables
988;"Consider the function $f$ defined in $\mathbb{R}^2$ by $f(x,y)=x\ln(y^2-x)$.
The domain of $f$ is";1;$\{(x,y)\in\mathbb{R}^2:x < y^2\}$.;$\{(x,y)\in\mathbb{R}^2:x>y\}$.;$\{(x,y)\in\mathbb{R}^2:x\leq y^2\}$.;$\{(x,y)\in\mathbb{R}^2:x\geq y\}$.;15;Real Functions of Several Variables
989;Find $\displaystyle\lim_{(x,y)\to (0,0)}\,\dfrac{3x^2y}{x^2+y^2}$.;1;$0$.;$-1$.;$1$.;The limit does not exist.;15;Real Functions of Several Variables
990;Find $\displaystyle \lim_{(x,y)\to (0,0)}\,\dfrac{xy}{\sqrt{x^2+y^2}}$.;1;$0$.;$1$.;$2$.;The limit does not exist.;15;Real Functions of Several Variables
991;Find the domain of $\displaystyle f(x,y)=\frac{\sqrt{4-x^2}}{y^2+3}$.;1;$\displaystyle D_{f}=\{(x,y)\in \mathbb{R}^2: -2\leq x\leq 2 \}$.;$\displaystyle D_{f}=\{(x,y)\in \mathbb{R}^2: -2\leq x\leq 2 \wedge y\neq 3 \}$.;$\displaystyle D_{f}=\{(x,y)\in \mathbb{R}^2: -2\leq x\leq 2 \wedge y\neq -3 \}$.;$\displaystyle D_{f}=\{(x,y)\in \mathbb{R}^2: -2\leq x\leq 2  \wedge y\neq -3 \wedge y\neq 3 \}$.;15;Real Functions of Several Variables
992;Find $\displaystyle \lim_{(x,y,z)\to (0,0,0)}\,\dfrac{\sin(x^2+y^2+z^2)}{x^2+y^2+z^2}$.;1;$1$.;$-1$.;$0$.;The limit does not exist.;15;Real Functions of Several Variables
993;How many contours of $f(x,y)=\sqrt{x+y^2-3}$ go through the point $(3,-1)$?;2;$1$.;$2$.;$3$.;None.;15;Real Functions of Several Variables
994;"For which values of the parameter $k \in \mathbb{R}$ is the function $f(x,y)=\begin{cases}
\dfrac{x^2\sqrt{y}}{x^2+y^2} & \text{if } (x,y)=(0,0) \\
k & \text{if } (x,y)\neq (0,0)
\end{cases}$ continuous?";3;$k=0$.;$k=-1$.;$k=1$.;$k=-2$.;15;Real Functions of Several Variables
995;Find the domain of the function $f(x,y)=\frac{e^{\sqrt{y}}}{\ln(-x^2+y)}$.;3;$\displaystyle D_f=\Big\{(x,y)\in\mathbb{R}^2\mid\, y\geq 0 \wedge -x^2+y>0 \wedge -x^2+y\neq 1\Big\}$.;$\displaystyle D_f=\Big\{(x,y)\in\mathbb{R}^2\mid\, y\geq 0 \wedge -x^2+y>0 \Big\}$.;$\displaystyle D_f=\Big\{(x,y)\in\mathbb{R}^2\mid\, y\geq 0\wedge -x^2+y\neq 1\Big\}$.;$\displaystyle D_f=\Big\{(x,y)\in\mathbb{R}^2\mid\, y\geq 0 \wedge -x^2+y>0 \wedge -x^2+y\neq 0\Big\}$.;15;Real Functions of Several Variables
996; Find the domain of function $\displaystyle f(x,y)=\frac{1}{x^2+y^2}$.	;1;$\displaystyle D_{f} = \mathbb{R}^2\backslash\left\{(0,0)\right\}$.;$\displaystyle D_{f}=\mathbb{R}^2$.;$\displaystyle D_{f}=\mathbb{R}^2\backslash\left\{(-1,1)\right\}$.;$\displaystyle D_{f}=\mathbb{R}^2\backslash\left\{(1,1)\right\}$.;15;Real Functions of Several Variables
997;Find $\displaystyle \lim_{\left(x,y\right)\rightarrow\left(0,0\right)}\frac{x^3y}{2x^6+y^2}$.;5;The limit does not exist.;$0$.;$\frac{1}{3}$.;$2$.;15;Real Functions of Several Variables
998;Find $\dfrac{\partial}{\partial x}( \cos(x) \tan(y-2x))$.;5;$f_{x}(x,y) = -\sin(x) \tan(y-2x) - 2\cos(x)\sec^2(y-2x)$  ;$f_{x}(x,y) = -\cos(x) \tan(y-2x) - 2\tan(x)\sec^2(y-2x)$  ;$f_{x}(x,y) = -\sin(x) \tan(y-2x) + 2\cos(x)\sec^2(y-2x)$;$f_{x}(x,y) = \sin(x) \tan(y-2x) - 2\cos(x)\sec^2(y-2x) $;4;Differentiation
999;Consider $f(x,y) = x + x^3y^2 - 2y^2x$. Find $f_{x}(2,1)$.;4;$f_{x}(2,1) = 11$;$f_{x}(2,1) = 13$;$f_{x}(2,1) = 10$;$f_{x}(2,1) = -2$;4;Differentiation
1000;Consider $f(x,y) = x + x^3y^2 - 2y^2x$. Find $f_{y}(1,1)$.;4;$f_{y}(1,1) = -2$;$f_{y}(1,1) = 8$;$f_{y}(1,1) = 2$;$f_{y}(1,1) = 11$;4;Differentiation
1001;Consider $f(x,y) = \sqrt{2x^3 + 8y^2}$. Find $f_{y}(1,1)$.;4;$f_{y}(1,1) = \dfrac{8}{\sqrt{10}}$;$f_{y}(1,1) = \dfrac{8y}{100}$;$f_{y}(1,1) = \dfrac{8y}{5}$ ;$f_{y}(1,1) = \dfrac{8y}{\sqrt{10}}$;4;Differentiation
1002;Find $\dfrac{\partial}{\partial t}(\sqrt[3]{4-6s^2-10t})$.;5;$f_{t}(s,t) = \dfrac{-10}{3\sqrt[3]{(4-6s^2-10t)}^2}$;$f_{t}(s,t) = \dfrac{-10}{3\sqrt[3]{(4-6s^2-10t)}}$;$f_{t}(s,t) = \dfrac{-10}{\sqrt[3]{(4-6s^2-10t)}}$;$f_{t}(s,t) = \dfrac{10}{3\sqrt[3]{(4-6s^2-10t)}^2}$;4;Differentiation
1003;"Consider the problem of  $\min f(x,y,z)=2xz+3y+4$ subject to $x+y+z=1$ and $-2x+z \geq 2$.

This problem";3;is nonlinear.;is linear.;has one nonlinear constraint.;has three constraints.;12;Optimization
1004;Conclude about the existence of local maxima, minima, and saddle points of $f\left(x,y\right)=\left(x-1\right)^2+2y^2$.;3;There is $1$ local minimum.;There are $1$ local maximum and $1$ saddle point.;There are $2$ local minima.;There is $1$ saddle point.;12;Optimization
1005;Conclude about the existence of local maxima, local minima, and saddle points of $f\left(x,y\right)=y^2+xy+3y+2x+3$.;2;There is $1$ saddle point.;There are $1$ local maximum and $1$ local minimum.;There is $1$ minimum.;There is $1$ maximum.;12;Optimization
1006;"The Cost-Less Corp. supplies its four retail outlets from its three plants. The shipping cost per unit from each plant $(i)$ to each retail outlet $j$ is given below.
	
\[
\begin{array}{lc|cccc}
&   & & \text{Retail} &\text{ outlet} \\
& & \text{K} & \text{L} & \text{M} & \text{N}\\
\hline
& \text{A} & 2 & 4 & 5 & 1 \\
\text{Plant} & \text{B} & 3 & 4 & 5 & 7 \\
& \text{C} & 4 & 5 & 7 & 4 \\
\end{array}
\]	
	
Plants $A$, $B$ and $C$ make $80$, $110$ and $130$ units per month, respectively. Retail outlets $K$, $L$, $M$, and $N$ need to receive $80$, $30$, $90$ and $120$ units per month, respectively. Use the transportation simplex method to determine the best plan for how many units to send from each plant to the respective retail outlets each month, minimizing the total shipping cost. Use the minimum cost rule to obtain an initial basic feasible solution. 
	
Choose the right answer:";2;Tied optimal solutions: $x_{14} = 80, x_{21} = 20, x_{23} = 90, x_{31} = 60, x_{32} = 30, x_{34}= 40 \text{, other } x_{ij}=0$  or $x_{14} = 80, x_{22} = 20, x_{23} = 90, x_{31} = 80, x_{32} = 10, x_{34} = 40 \text{, other } x_{ij}=0$;$x_{14} = 80, x_{22} = 20, x_{23} = 90, x_{31} = 80, x_{32} = 10, x_{34}= 40 \text{, other } x_{ij}=0$;$x_{14} = 80, x_{22} = 30, x_{23} = 80, x_{31} = 80, x_{33} = 10, x_{34}= 40 \text{, other } x_{ij}=0$;None of them.;12;Optimization
1007;Conclude about the existence of local maxima, local minima, and saddle points of $f\left(x,y\right)=xy-x^3-y^2$.;3;There are $1$ local maximum and $1$ saddle point.;There are $1$ local minimum and $1$ saddle point.;There are $1$ local maximum and $1$ local minimum.;There is $1$ saddle point.;12;Optimization
1008;Conclude about the existence of local maxima, local minima, and saddle points of $f\left(x,y\right)=x^4+y^4-4xy$.;4;There are $2$ local minima, and a saddle point.;There are $2$ local minima, and $2$ local maxima.;There are $2$ local maxima, and a saddle point.;There are $2$ local minima, a saddle point, and $1$ local maximum.;12;Optimization
1009;"Consider the transportation problem having the following parameter table: 

\[
\begin{array}{lc|cccc|c}
& &  & \text{Destination}& \\
& &\text{C1} & \text{C2} & \text{C3} & \text{C4} &  \text{Supply (units)}\\
\hline
&\text{A} & 2 & 1 & 4 & 2 & 100\\
\text{Source (units)} &\text{B} & 5 & 4 & 7 & 5 & 50\\
& \text{C} & 4 & 5 & 2 & 6 & 100 \\
\hline
\text{Demand} & & 80 & 60  & 70 & 50  & \\
\end{array}
\]	

Use the transportation simplex method to determine the best plan for how many units to send from each source ($i$) to the respective destinations ($j$), minimizing the total shipping cost. Use the Northwest corner rule to obtain an initial basic feasible solution.

Choose the right answer:";2;None of them.; $x_{11} = 80,  x_{12} = 10,  x_{14} = 10, x_{22} = 50, x_{33} = 60, x_{34}= 30 \text{, other } x_{ij}=0$ ;$x_{11} = 80,  x_{12} = 20, x_{22} = 40, x_{23} = 10, x_{33}= 60, x_{34}= 40 \text{, other } x_{ij}=0$;$x_{11} = 80,  x_{12} = 10,  x_{14} = 10, x_{22} = 50, x_{33} = 70, x_{34}= 30 \text{, other } x_{ij}=0$;12;Optimization
1010;Solve the constraint optimization problem $f\left(x,y\right)=x+2y$ subject to $x^2+y^2=4$.;5;It has $1$ local maximum and $1$ local minimum.;It has $2$ local maximum and $2$ local minimum.;It has no solution.;It has an infinit number of solutions.;12;Optimization
1011;Solve the following constraint optimization problem such that $f\left(x,y\right)=x^2+y^2$ subject to $4x^2+y^2=8$.;5;It has $2$ local maxima and $2$ local minima.;It has no solution.;It has $1$ local maxima and $1$ local minima.;It has $1$ local minimum.;12;Optimization
1012;Consider the nonlinear problem $ \min f(x,y,z)=(x-3)^2+(y+1)^2+z^2$. It is possible to say:;2;The point $(3,-1,0)$ is the global minimizer of the problem.;The problem is impossible.;The point $(3,-1,0)$ is the global maximizer of the problem.;None of all.;12;Optimization
1013;The solution of the problem $\max f(x)$ is equal to:;2;$- \min -f(x)$;$ \min -f(x)$;$- \max -f(x)$;$\max -f(x)$;12;Optimization
1014;"Consider the problem

$$\begin{cases}
\min \ (x-2)^2 \\
x \in \mathbb{R} \\
x-3 \geq 0
\end{cases}$$

The solution occurs when";3;$x=3$.;$x=2$.;$x=-2$.;$x=4.4$.;12;Optimization
1015;"Consider the problem 

$$\begin{cases}
\min \ -x_1 x_2 \\
-x_1-x_2^2+1 \geq 0 \\
x_1+x_2 \geq 0
\end{cases}$$

It is possible to say that";4;the point $(1,-1)$ has an active constraint.;the $(1,-1)$ is a feasible point.;the $(1,-1)$ is KKT point.;None of all.;12;Optimization
1016;"Consider the problem 
\[
\begin{array}{rl}
\min & e^{x_1}+x_2\\
s.t & -x_1-x_2 \leq 0
\end{array}
\]

Solve using the SQP method. 
It is possible to say that";4;$(-1,1)$ is the local solution of the problem.;$(0,0)$ is not a feasible point.;the problem is impossible.;$(-1,1)$ is a maximizer of the problem.;12;Optimization
1017;"The Cost-Less Corp. supplies its four retail outlets from its three plants. The shipping cost per unit from each plant $(i)$ to each retail outlet $j$ ($K$, $L$, $M$ and $N$) is given below:

\[
\begin{array}{lc|cccc|}
& & \text{K} & \text{L} & \text{M} & \text{N}\\
\hline
& \text{A} & 2 & 4 & 5 & 1 \\
\text{Plant} & \text{B} & 3 & 4 & 5 & 7 \\
& \text{C} & 4 & 5 & 7 & 4 \\
\hline
\end{array}
\]	

Plants $A$, $B$ and $C$ make $80$, $140$ and $130$ units per month, respectively. Retail outlets $K$, $L$, $M$ and $N$ need to receive $80$, $30$, $90$ and $120$ units per month, respectively. Suppose that each unit maintained at plants $A$, $B$ and $C$ has a penalty cost (in monetary units) of $0.5$, $1$ and $1$, respectively. Use the transportation simplex method to determine the best plan for how many units to send from each plant to the retail outlets each month, minimizing the total shipping cost. Use the minimum cost rule to obtain an initial basic feasible solution. 

Choose the right answer:";2;"Tied optimal solutions: $x_{14} = 80,  x_{21} = 20,  x_{23} = 90, x_{31}= 60, x_{32}=30; x_{34}= 40 \text{, other } x_{ij}=0$ or  $x_{14} = 80,  x_{22} = 20, x_{23} = 90, x_{31} = 80, x_{32}= 10, x_{34}= 40 \text{, other } x_{ij}=0$;";"$x_{14} = 50, x_{21} = 80, x_{22} = 30, x_{23}= 30, x_{33}= 60, x_{34}= 70 \text{, other } x_{ij}=0$;";"$x_{14} = 80,  x_{21} = 80, x_{22} = 30, x_{23} = 30, x_{33}= 60, x_{34}= 40 \text{, other } x_{ij}=0$;";"$x_{14} = 80,  x_{21} = 20, x_{22} = 30, x_{23} = 90, x_{31}= 60, x_{34}= 40 \text{, other } x_{ij}=0$;";12;Optimization
1018;"The Cost-Flower Corp. supplies its three retail stores ($L_1$, $L_2$, and $L_3$) from three suppliers ($P_1$, $P_2$, and $P_3$). The shipping cost per unit from each supplier $(i)$ to each retail store ($j$) is given below. Consider that the capacity for each supplier and the requirements for each retail store during the week are indicated in the following table:

\[
\begin{array}{lc|ccc|c}
& & L_1 & L_2 & L_3 & \text{Supply (units)}\\
\hline
&P_1 & 25  & 15 & 5 & 1000\\
\text{Suppplier } & P_2 & 15 & 10 & 0 & 1000\\
& P_3 & 20 & 10 & 10 & 1000 \\
\hline 
\text{Demand (units)} & & 500  & 1000 & 750  & \\
\end{array}
\]	

Suppose that each supplier $P_1$, $P_2$ and $P_3$ sells each unit at cost $80 u.m.$, $90 u.m.$ and $70 u.m.$, respectively. Afterwards, each retail store $L_1$, $L_2$ and $L_3$ sells each unit at price $200 u.m.$, $220 u.m.$ and $190 u.m.$, respectively. Use a computer (Solver Add-in in Excel) to determine the best distribution plan per week.";2;"There are tied optimal solutions with the maximum profit equals to $266250~u.m.$;";"$x_{11} = 500,  x_{12} = 500, x_{22} = 500, x_{33} = 750 \text{, other } x_{ij}=0$;";"$x_{12} = 750,  x_{13} = 250, x_{22} = 250, x_{31} = 500, x_{33} = 500 \text{, other } x_{ij}=0$;";"$x_{12} = 250,  x_{13} = 750, x_{22} = 250, x_{31} = 500, x_{33} = 500 \text{, other } x_{ij}=0$;";12;Optimization
1019;"Consider the assignment problem having the following table regarding the time that each person $i$ performs each task $j$ ($T_1$, $T_2$, $T_3$ and $T_4$).

\[
\begin{array}{lc|cccc|}
%	& &  {\text{Task} j} & & &  \\
& & T_1 & T_2 & T_3 & T_4 \\
\hline 
& \text{A} & 8  & 6 &  5 & 7\\
\text{Person }  & \text{B} & 6  & 5 & 3 & 4\\
& \text{C} & 7  & 8 &  4 & 6 \\
& \text{D} & 6  & 7 &  5 & 6 \\
\hline
\end{array}
\]	

Use the Hungarian algorithm to assign four tasks to the four persons to minimize the sum of the corresponding task time.";2;"$x_{12} = 1,  x_{24} = 1, x_{33} = 1, x_{41} = 1 \text{, other } x_{ij}=0$;";"$x_{12} = 1,  x_{23} = 1, x_{31} = 1, x_{44} = 1 \text{, other } x_{ij}=0$;";"$x_{13} = 1,  x_{22} = 1, x_{31} = 1, x_{44} = 1 \text{, other } x_{ij}=0$;";"$x_{13} = 1,  x_{21} = 1, x_{32} = 1, x_{44} = 1 \text{, other } x_{ij}=0$;";12;Optimization
1020;"Four workers ($W_1$, $W_2$, $W_3$ and $W_4$) should be selected to perform three different tasks ($T_1$, $T_2$ and $T_3$), for which they are unequally prepared. Based on the qualifications and previous experience, it was possible to construct the following table which indicates, for each worker $j$, the operation time in each task  $i$ (in weeks):

\[
\begin{array}{l|cccc|}
& W_1 & W_2 & W_3 & W_4\\
\hline
T_1 & 2 & 6 & 7 & 4 \\
T_2 & 9 & 8 & 4 & 2 \\
T_3 & 2 & 7 & 5 & 7 \\
\hline
\end{array}
\]	

What workers should be selected to carry out the tasks, in order to minimize the total time spent by them?";3;"$x_{11} = 1,  x_{24} = 1, x_{33} = 1 \text{, other } x_{ij}=0$;";"$x_{12} = 1,  x_{21} = 1, x_{33} = 1 \text{, other } x_{ij}=0$;";"$x_{11} = 1,  x_{24} = 1, x_{32} = 1 \text{, other } x_{ij}=0$;";"$x_{11} = 1,  x_{22} = 1, x_{33} = 1 \text{, other } x_{ij}=0$;";12;Optimization
1021;"Four workers ($W_1$, $W_2$, $W_3$ and $W_4$) should be selected to perform three different tasks ($T_1$, $T_2$ and $T_3$), for which they are unequally prepared. Based on the qualifications and previous experience, it was possible to construct the following table which indicates, for each worker $j$, the operation time in each task  $i$ (in weeks):
	
\[
\begin{array}{l|cccc|}
& W_1 & W_2 & W_3 & W_4 \\
\hline
T_1 & 2 & 6 & 7 & 4 \\
T_2 & 9 & 8 & 4 & 2 \\
T_3 & 2& 7 & 5 & 7 \\
\hline 
\end{array}
\]	

Supposing that the several tasks start at same time, what workers should be selected to complete all the three tasks as soon as possible?";2;"$x_{14} = 1,  x_{23} = 1, x_{31} = 1 \text{, other } x_{ij}=0$;";"$x_{13} = 1,  x_{24} = 1, x_{31} = 1 \text{, other } x_{ij}=0$;";"$x_{13} = 1,  x_{22} = 1, x_{31} = 1\text{, other } x_{ij}=0$;";"$x_{11} = 1,  x_{22} = 1, x_{33} = 1 \text{, other } x_{ij}=0$;";12;Optimization
1022;"A school needs to hire three new teachers for three different subjects ($S_1$, $S_2$ and $S_3$). The marks (ranges from $0$ to $20$) achieved by the four candidates ($C_1$, $C_2$, $C_3$ and $C_4$), at the exam regarding each subject, are the following:
		
\[
\begin{array}{l|ccc|}
& S_1 & S_2 & S_3 \\
\hline
C_1 & 14 & 13 & 16 \\
C_2 &16 & 18  & 15 \\
C_3 & 15 & 17 & 11 \\
C_4 & 14 & 16  & 14 \\
\hline 
\end{array}
\]	

Assign the different candidates for the subjects, supposing that each teacher must have at least $14$ marks in the subject to teach and the school wants to maximize the sum of the marks concerning the admitted teachers.";3;"Tied optimal solutions: $x_{13} = 1,  x_{21} = 1, x_{32} = 1 \text{, other },  x_{ij}=0~$ or $~x_{13} = 1,  x_{22} = 1, x_{31} = 1 \text{, other }  x_{ij}=0$;";"$x_{23} = 1, x_{32} = 1, x_{41} = 1 \text{, other }  x_{ij}=0$;";"$x_{13} = 1,  x_{32} = 1, x_{41} = 1 \text{, other }  x_{ij}=0$;";"$x_{13} = 1,  x_{21} = 1, x_{32} = 1 \text{, other }  x_{ij}=0$;";12;Optimization
1023;In a simple graph of order $n$ the maximum possible degree of a vertex is:;3;$n-1$.;$n$.;$2n$.;$\frac{n(n-1)}{2}$.;22;Graph Theory
1024;"Match the following functions (labeled $I - III$) with its contour map (labeled $A - C$):

$(I) f(x,y) = \cos(x + y)$
$(II) f(x,y) = (1+x^2+y^2)\cos(x)$
$(III) f(x,y) = \cos(x)-\sin(y)$";2;$I \rightarrow C, II \rightarrow B, III \rightarrow A$.;$I \rightarrow C, II \rightarrow A, III \rightarrow B$.;$I \rightarrow A, II \rightarrow C, III \rightarrow B$.;$I \rightarrow A, II \rightarrow B, III \rightarrow C$. ;15;Real Functions of Several Variables
1025;"Match the following functions (labeled $I - IV$) with its level curve (labeled $A - D$).

$(I) f(x,y) = 1.5(\operatorname{e}^x-0.5x^3-2x-y)$
$(II) \displaystyle f(x,y) = \sqrt{\operatorname{e}^x-0.5x^3-2x-y}$
$(III) f(x,y) = \operatorname{e}^x-0.5x^3-2x-y$
$(IV) \displaystyle f(x,y) = |\operatorname{e}^x-0.5x^3-2x-y|$

Suggestion: use a graphical machine.";2;$I \rightarrow D, II \rightarrow B, III \rightarrow A, IV \rightarrow C$.;$I \rightarrow A, II \rightarrow C, III \rightarrow D, IV \rightarrow B$.;$I \rightarrow A, II \rightarrow B, III \rightarrow C, IV \rightarrow D$.;$I \rightarrow D, II \rightarrow C, III \rightarrow A, IV \rightarrow B$.;15;Real Functions of Several Variables
1026;Match the following graphs (labelled $I - IV$) with its contour map (labelled $A - D$):;2;$I \rightarrow D, II \rightarrow B, III \rightarrow A, IV \rightarrow C$.;$I \rightarrow A, II \rightarrow C, III \rightarrow D, IV \rightarrow B$.;$I \rightarrow A, II \rightarrow B, III \rightarrow C, IV \rightarrow D$.;$I \rightarrow D, II \rightarrow C, III \rightarrow A, IV \rightarrow B$.;15;Real Functions of Several Variables
